MAZ,HH,ADLT,WRKR,KID
396,993,2327,1395,759
397,745,1836,997,530
398,340,832,438,247
399,1325,3275,1648,1228
400,1114,3161,1964,991
401,0,0,0,0
402,1181,3423,1826,1126
403,1793,3587,1921,1334
404,1964,3908,2101,1476
405,1395,3099,1368,1193
406,0,0,0,0
407,1324,2762,1072,663
408,1126,3063,1679,894
409,81,216,141,75
410,201,544,360,170
411,823,2212,1237,678
412,590,1697,918,573
413,721,1873,1269,678
414,935,2338,1292,821
415,0,0,0,0
416,0,0,0,0
417,823,2059,1110,633
418,488,1226,676,425
419,1187,3263,1909,1190
420,686,1901,1124,699
421,829,1988,1105,653
422,958,2291,1275,764
423,859,2070,1262,606
424,862,2076,1265,614
425,690,1719,1025,623
426,823,2016,1198,787
427,1008,2043,1247,300
428,1157,2349,1434,343
429,477,1035,510,330
430,636,1382,678,445
431,0,0,0,0
432,1800,2594,1492,982
433,647,1188,823,449
434,2446,3703,2129,1276
435,2236,3045,1180,355
436,1542,2284,1081,675
437,1258,2286,1414,888
438,1342,2349,1153,671
439,740,1212,555,419
440,422,954,619,265
441,439,754,249,297
442,1287,2880,1763,771
443,0,0,0,0
444,0,0,0,0
445,0,0,0,0
446,248,560,364,156
447,6,14,8,4
448,196,532,323,131
449,2121,5021,2897,1994
450,0,0,0,0
451,1816,4072,2083,1249
452,1134,2642,1261,899
453,1277,3423,1646,773
454,691,1428,682,433
455,335,721,284,193
456,1568,3443,1770,1225
457,804,1715,745,515
458,578,1130,475,475
459,215,379,95,65
460,379,708,283,134
461,244,422,111,90
462,309,567,229,115
463,2618,3929,2245,1183
464,1323,1989,1224,556
465,0,0,0,0
466,1386,2262,1145,826
467,1668,2604,1591,426
468,2373,3475,1850,594
469,3699,5809,3614,597
470,3050,5408,3225,643
471,2507,3620,2037,341
472,2682,4019,2728,492
473,1711,2573,1388,224
474,0,0,0,0
475,0,0,0,0
476,2129,3749,2200,658
477,114,246,64,10
478,1400,2323,1047,701
479,1423,2315,955,307
480,0,0,0,0
481,1635,2837,1420,1195
482,1755,2776,1118,720
483,1381,2289,1008,810
484,363,585,275,139
485,380,656,266,133
486,170,274,129,66
487,568,977,368,164
488,763,1459,510,393
489,813,1540,588,272
490,792,1545,552,455
491,998,1744,733,453
492,952,2063,763,482
493,379,877,385,234
494,710,1410,563,475
495,162,346,140,85
496,935,2044,637,584
497,658,1194,395,220
498,745,1485,462,394
499,850,1631,560,354
500,1050,1960,604,511
501,615,1159,370,325
502,869,1663,687,680
503,1007,1723,510,345
504,731,1026,335,314
505,1164,1647,491,416
506,855,1552,696,514
507,733,1355,539,756
508,1176,2024,689,579
509,788,1091,359,709
510,774,1327,557,352
511,1352,2428,1187,330
512,1273,2109,1123,536
513,1901,3449,1903,1300
514,1149,1691,733,1006
515,0,0,0,0
516,0,0,0,0
517,0,0,0,0
518,5031,7277,3929,1079
519,2392,3679,1819,837
520,1488,3048,1695,741
521,2335,3659,1714,1092
522,1125,2106,1304,350
523,1526,2843,1612,1133
524,1243,2031,980,694
525,674,1188,570,452
526,457,852,430,255
527,780,1352,466,502
528,1636,3154,1438,746
529,1030,1784,827,314
530,1331,2413,1346,523
531,1078,2069,842,217
532,1014,1934,731,462
533,733,1527,526,614
534,454,847,453,269
535,1213,2216,1050,694
536,839,1596,620,589
537,678,1733,675,581
538,1639,2932,1383,798
539,1325,2566,1119,704
540,748,1737,701,498
541,696,1534,606,401
542,1427,3051,1419,954
543,495,1062,496,332
544,1855,3555,1792,1014
545,476,941,525,191
546,1141,2254,1123,439
547,305,603,300,117
548,1482,2624,1014,596
549,1814,3323,1388,897
550,1118,2526,983,434
551,896,1832,703,282
552,974,1787,815,492
553,456,817,415,266
554,90,165,76,45
555,501,881,482,320
556,2826,4287,2195,1321
557,1349,2410,1274,444
558,1234,1843,796,316
559,728,1305,691,239
560,1007,1866,783,286
561,3010,4820,2441,1250
562,900,1665,693,252
563,1197,1918,1079,440
564,1448,2780,1635,460
565,712,1395,789,256
566,578,1122,651,197
567,1140,2394,1185,524
568,0,0,0,0
569,0,0,0,0
570,127,183,86,38
571,3542,5251,2786,1523
572,1733,2659,1311,640
573,2339,4052,2210,1650
574,1267,2559,1178,753
575,1276,2683,1167,826
576,1046,2201,1099,858
577,1200,2525,1229,890
578,0,0,0,0
579,58,114,55,32
580,0,0,0,0
581,502,1030,520,372
582,2955,5694,4319,929
583,0,0,0,0
584,3454,6128,4658,1054
585,1385,2407,1627,497
586,2151,4469,3256,1255
587,1797,4406,2905,1807
588,1109,2377,1437,595
589,1948,4483,2427,1574
590,2035,5260,3115,1686
591,84,184,105,21
592,1819,4480,2555,2060
593,391,960,549,430
594,1003,2383,1219,575
595,2047,4270,2190,786
596,1899,3838,1623,1425
597,1094,2866,1329,651
598,1314,3039,1720,817
599,1413,3116,1462,635
600,1702,3112,1822,819
601,2396,3898,1657,907
602,1346,3395,1443,1097
603,1412,3234,1237,926
604,1390,2833,1246,1224
605,1831,3129,1443,1418
606,0,0,0,0
607,173,445,245,55
608,856,1812,788,718
609,731,1460,630,626
610,1353,2687,1374,732
611,1108,2298,1030,587
612,1161,1927,838,969
613,581,970,385,202
614,646,1332,994,298
615,358,639,388,226
616,396,745,365,167
617,1012,1653,798,373
618,962,1850,903,412
619,910,1794,864,663
620,832,1753,1104,425
621,1275,2312,921,1160
622,863,1512,745,759
623,1026,1874,711,790
624,1102,2163,1097,977
625,1259,2369,996,776
626,1062,2463,929,1083
627,1155,2290,975,733
628,735,1547,806,508
629,266,570,301,155
630,1822,3506,1340,758
631,2204,4739,2566,1765
632,152,308,156,69
633,87,175,89,40
634,657,1001,393,199
635,700,1419,720,319
636,1109,2429,932,829
637,220,493,246,189
638,1358,2636,1278,736
639,298,815,511,251
640,1516,2980,1518,1211
641,1489,2634,1260,942
642,1091,2008,1009,552
643,1329,2762,1393,748
644,434,958,462,207
645,273,550,296,222
646,827,1867,1245,752
647,984,1939,900,643
648,1260,3140,1819,1445
649,2370,5529,3109,1801
650,0,0,0,0
651,287,1021,52,40
652,2487,6327,3717,2531
653,1639,4265,2526,1461
654,2156,5160,2843,2126
655,2191,5738,3507,2462
656,1132,2724,1417,962
657,83,164,88,46
658,2400,5820,3288,2074
659,260,636,298,205
660,363,1008,495,334
661,0,0,0,0
662,0,0,0,0
663,0,0,0,0
664,0,0,0,0
665,731,2075,927,626
666,710,1980,1141,527
667,0,0,0,0
668,224,511,276,118
669,0,0,0,0
670,930,2226,1316,657
671,896,2405,1275,887
672,1082,2365,1374,496
673,925,2093,1176,499
674,2120,4878,3149,1557
675,723,1804,957,257
676,2491,5255,3257,1034
677,660,1389,881,266
678,578,1139,736,236
679,0,0,0,0
680,890,1499,679,156
681,2027,4174,2604,858
682,765,1240,536,398
683,1589,3226,2112,718
684,2231,3077,1753,109
685,1094,2014,711,89
686,1961,2827,1351,1708
687,1571,2443,1072,714
688,0,0,0,0
689,443,763,464,365
690,1219,2342,1270,353
691,946,1938,1259,577
692,679,1337,772,276
693,783,1602,1024,462
694,422,884,568,220
695,122,267,170,69
696,0,0,0,0
697,199,366,221,76
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0,0,0,0
703,0,0,0,0
704,0,0,0,0
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,0,0,0,0
710,0,0,0,0
711,0,0,0,0
712,0,0,0,0
713,0,0,0,0
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,705,1446,871,354
722,4330,7283,4830,1591
723,1625,2998,1796,553
724,841,1693,1018,436
725,863,1742,1056,452
726,1090,2205,1255,226
727,275,608,403,129
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,21,43,27,9
732,0,0,0,0
733,0,0,0,0
734,0,0,0,0
735,0,0,0,0
736,0,0,0,0
737,0,0,0,0
738,0,0,0,0
739,17,45,28,10
740,1228,2718,1803,577
741,0,0,0,0
742,1006,2033,1267,450
743,0,0,0,0
744,1357,2923,1782,666
745,710,1557,1008,339
746,1256,2889,1987,655
747,1315,3055,1760,775
748,1599,3524,2201,929
749,2332,6212,3551,1871
750,2289,5196,3013,2361
751,2229,5075,3533,1002
752,699,1498,991,378
753,558,1170,529,352
754,683,1409,616,398
755,1762,4318,2458,1136
756,764,1572,690,448
757,823,1702,1088,564
758,689,1426,909,471
759,445,884,569,232
760,822,1704,1094,560
761,640,1312,818,384
762,197,410,253,120
763,124,253,158,74
764,349,713,422,208
765,238,490,293,141
766,1016,2160,1302,433
767,1335,2720,1611,795
768,1173,2476,1483,518
769,775,1466,925,309
770,996,1904,1120,342
771,578,1106,647,196
772,512,985,530,140
773,936,1830,1236,495
774,959,1873,1265,503
775,1046,2354,1484,439
776,1061,2395,1509,451
777,1246,2608,1508,601
778,814,1749,1058,433
779,1874,3801,2426,775
780,1204,2591,1576,644
781,672,1574,1068,425
782,1305,3147,2023,654
783,1323,2881,1954,716
784,1607,3350,2176,655
785,361,687,437,158
786,0,0,0,0
787,1240,2589,1614,607
788,1111,2326,1405,550
789,1552,3413,2097,800
790,0,0,0,0
791,2398,5634,3387,1205
792,2191,5342,3233,1458
793,3286,6449,3944,1478
794,799,1756,1007,247
795,2714,5003,3827,921
796,1532,3305,2199,907
797,2409,4233,3184,901
798,2558,4994,3635,1202
799,1073,1961,1529,527
800,2773,5565,4085,1355
801,3092,6890,4964,1885
802,2576,6109,3970,1584
803,2691,6134,4002,1546
804,1848,3800,2631,845
805,1715,3862,2396,1033
806,1052,2098,1234,565
807,2168,3590,2545,520
808,592,1246,779,278
809,1036,2298,1454,433
810,1729,3871,2493,767
811,1906,4216,2643,797
812,1166,2633,1719,497
813,1581,3384,2113,827
814,1577,3668,2269,719
815,1308,2987,2011,795
816,1379,3028,1832,952
817,1045,1675,799,135
818,700,1416,769,238
819,319,763,467,176
820,1462,3493,2172,816
821,1378,3145,1987,680
822,1093,2487,1563,546
823,1435,3263,2234,754
824,1222,3073,1917,622
825,1219,3074,1931,582
826,1268,3106,2008,875
827,1665,4041,2689,654
828,1439,3266,1987,697
829,1964,4686,3071,1422
830,1770,4033,2713,1195
831,1157,2334,1649,776
832,1051,2432,1626,703
833,1911,4000,2719,870
834,1072,2577,1701,730
835,1839,4499,3132,880
836,1043,1992,1596,550
837,467,1135,725,282
838,2328,5667,3572,1402
839,367,684,499,228
840,2305,4640,3405,725
841,358,739,526,191
842,1254,2623,1879,678
843,1344,2542,2027,602
844,1955,4377,3043,917
845,1595,3115,2480,491
846,2350,4477,3507,566
847,2543,5612,3961,1109
848,2708,5923,4240,1522
849,3201,5487,3967,851
850,2470,5511,4205,1351
851,1403,3026,1880,735
852,1693,3789,2508,1057
853,906,2219,1413,343
854,1449,3657,2373,759
855,1626,4413,2775,1433
856,1801,4485,2909,1030
857,1945,4996,2874,1612
858,2266,5572,3323,2093
859,1719,4151,2641,1270
860,1262,3459,2197,979
861,1540,4196,2521,1041
862,1038,3458,2301,953
863,1531,3441,2208,754
864,1582,3418,2194,726
865,347,886,494,236
866,1338,3418,1903,914
867,790,1928,1156,473
868,1249,2738,1681,625
869,967,2047,1311,431
870,809,1712,1097,361
871,1479,4062,2509,1243
872,1426,3884,2484,1325
873,986,1964,1074,449
874,855,1705,932,390
875,1804,4403,2799,1822
876,1028,2807,1731,1126
877,1056,2772,1713,775
878,1560,3485,1834,1255
879,2087,5872,3766,1925
880,1345,3780,2268,1165
881,2223,5136,3020,1501
882,263,622,368,130
883,2933,6072,4310,1110
884,1994,4547,2986,1233
885,2190,5114,3465,1494
886,1269,3142,1863,787
887,2768,4966,3801,794
888,2600,5123,4047,784
889,2628,5301,4127,1197
890,2521,5132,3911,992
891,5455,8352,4817,649
892,2543,4685,3330,609
893,5995,8931,6013,1188
894,3128,6122,5005,761
895,2778,5647,3259,1292
896,2371,5696,3620,1579
897,1239,2011,1522,356
898,0,0,0,0
899,1828,3450,2515,547
900,1129,2194,1579,443
901,3580,5878,4828,1114
902,1818,3518,2757,693
903,6199,9001,5584,617
904,2108,3778,2683,493
905,7123,11168,7130,2108
906,2806,4778,3929,621
907,0,0,0,0
908,0,0,0,0
909,1,1,0,0
910,3127,4603,3322,259
911,5603,9136,5934,1771
912,4358,7092,5601,759
913,4613,7298,5233,624
914,1314,2284,1869,653
915,2908,4789,3950,663
916,2169,3795,3076,584
917,2264,4093,3356,800
918,2093,3742,2741,1338
919,2395,4278,3506,699
920,2061,4357,3593,1688
921,2650,4994,4289,1217
922,2495,4691,3756,1616
923,3604,6246,5474,585
924,3197,5770,4549,1351
925,4013,7259,6079,740
926,3047,5722,4862,927
927,7571,10859,8979,906
928,0,0,0,0
929,7805,12076,9508,1061
930,3117,4371,3136,280
931,9187,13546,10933,1268
932,0,0,0,0
933,7780,11255,8949,1128
934,3656,6250,5410,847
935,2533,5102,4392,1103
936,3270,5902,4586,760
937,2552,5117,3916,1230
938,2110,3883,3313,1419
939,1797,3352,2587,904
940,1377,2692,2141,697
941,455,911,728,184
942,0,0,0,0
943,0,0,0,0
944,0,0,0,0
945,1054,1954,1335,624
946,763,1440,952,460
947,0,0,0,0
948,0,0,0,0
949,0,0,0,0
950,0,0,0,0
951,0,0,0,0
952,0,0,0,0
953,0,0,0,0
954,737,1392,972,306
955,1023,1969,1324,484
956,1333,2544,1787,586
957,793,1680,1129,527
958,1077,2609,1502,913
959,1007,2387,1421,907
960,737,1382,793,256
961,514,972,613,204
962,359,788,499,213
963,584,1262,749,311
964,380,831,526,229
965,47,100,62,26
966,676,1426,837,407
967,1735,3513,2053,1187
968,1917,3620,2006,1475
969,1986,4826,2720,1980
970,1642,4098,1832,1481
971,1389,2049,1419,518
972,3398,5189,3201,873
973,1687,2871,1996,729
974,2283,4266,2541,1236
975,3081,5998,3607,1506
976,2860,5241,3989,1534
977,2096,4037,2873,1167
978,2202,4482,3158,1118
979,1501,3693,1975,1051
980,657,1056,606,118
981,5409,8820,6406,1337
982,1023,1640,942,183
983,3659,6096,4169,955
984,535,996,608,282
985,401,745,455,210
986,317,590,361,167
987,92,172,104,49
988,632,1256,610,379
989,288,575,279,174
990,23,47,23,15
991,404,806,391,242
992,515,1049,558,196
993,215,441,234,83
994,491,998,530,187
995,336,684,362,129
996,173,354,189,66
997,0,0,0,0
998,226,460,245,87
999,0,0,0,0
1000,0,0,0,0
1001,0,0,0,0
1002,0,0,0,0
1003,0,0,0,0
1004,1006,2037,1113,404
1005,236,477,257,92
1006,0,0,0,0
1007,0,0,0,0
1008,125,258,138,49
1009,0,0,0,0
1010,184,373,199,69
1011,1,2,1,0
1012,0,0,0,0
1013,0,0,0,0
1014,0,0,0,0
1015,0,0,0,0
1016,0,0,0,0
1017,0,0,0,0
1018,0,0,0,0
1019,0,0,0,0
1020,572,1162,579,319
1021,0,0,0,0
1022,0,0,0,0
1023,0,0,0,0
1024,200,404,198,117
1025,167,331,160,100
1026,110,222,111,66
1027,97,195,94,59
1028,328,611,373,173
1029,403,749,459,212
1030,136,251,155,72
1031,295,549,336,155
1032,99,208,106,44
1033,59,123,63,26
1034,185,388,196,82
1035,77,165,84,35
1036,156,327,167,70
1037,294,617,335,133
1038,277,584,297,123
1039,81,170,87,38
1040,231,488,305,113
1041,50,103,65,25
1042,112,234,146,55
1043,326,687,429,159
1044,78,165,104,39
1045,248,509,325,137
1046,58,122,76,31
1047,181,376,237,92
1048,492,976,637,303
1049,470,932,608,289
1050,59,118,77,37
1051,483,962,627,296
1052,0,0,0,0
1053,0,0,0,0
1054,0,0,0,0
1055,0,0,0,0
1056,2,2,1,1
1057,2,2,1,1
1058,308,610,399,188
1059,1,1,0,1
1060,217,430,281,133
1061,350,695,454,216
1062,23,45,29,14
1063,313,619,404,193
1064,0,0,0,0
1065,280,589,368,137
1066,259,501,280,128
1067,0,0,0,0
1068,606,1278,799,297
1069,254,535,335,124
1070,71,143,81,31
1071,0,0,0,0
1072,108,228,132,51
1073,158,335,199,76
1074,395,864,511,248
1075,511,1022,578,225
1076,185,388,197,82
1077,142,297,150,63
1078,389,896,543,290
1079,433,995,604,324
1080,227,344,186,79
1081,217,439,237,114
1082,1031,1581,849,313
1083,162,322,175,82
1084,221,447,242,116
