hh_id,MAZ,balanced_weight,integer_weight,TAZ,REGION,PUMA
44134,17418,0.0,0,3630,1,50000
44163,17418,1.0,1,3630,1,50000
44264,17418,1.0,1,3630,1,50000
44322,17418,0.0,0,3630,1,50000
44440,17418,0.0,0,3630,1,50000
44465,17418,1.0,1,3630,1,50000
44551,17418,1.0,1,3630,1,50000
44565,17418,0.0,0,3630,1,50000
44590,17418,0.0,0,3630,1,50000
44633,17418,6.0,6,3630,1,50000
44847,17418,55.0,55,3630,1,50000
44897,17418,2.0,2,3630,1,50000
44960,17418,9.0,9,3630,1,50000
45021,17418,1.0,1,3630,1,50000
45086,17418,17.0,17,3630,1,50000
45171,17418,11.0,11,3630,1,50000
45250,17418,6.0,6,3630,1,50000
45257,17418,2.0,2,3630,1,50000
45289,17418,1.0,1,3630,1,50000
45316,17418,3.0,3,3630,1,50000
45389,17418,0.0,0,3630,1,50000
45416,17418,0.0,0,3630,1,50000
45904,17418,0.0,0,3630,1,50000
45926,17418,1.0,1,3630,1,50000
45936,17418,1.0,1,3630,1,50000
45940,17418,0.0,0,3630,1,50000
45960,17418,1.0,1,3630,1,50000
46087,17418,15.0,15,3630,1,50000
46137,17418,5.0,5,3630,1,50000
46205,17418,18.0,18,3630,1,50000
46241,17418,3.0,3,3630,1,50000
46279,17418,16.0,16,3630,1,50000
46309,17418,4.0,4,3630,1,50000
46329,17418,1.0,1,3630,1,50000
46558,17418,1.0,1,3630,1,50000
46573,17418,2.0,2,3630,1,50000
46598,17418,0.0,0,3630,1,50000
46600,17418,0.0,0,3630,1,50000
46636,17418,0.0,0,3630,1,50000
46648,17418,0.0,0,3630,1,50000
47289,17418,2.0,2,3630,1,50000
47388,17418,0.0,0,3630,1,50000
47422,17418,0.0,0,3630,1,50000
47489,17418,1.0,1,3630,1,50000
47531,17418,0.0,0,3630,1,50000
47582,17418,1.0,1,3630,1,50000
47583,17418,0.0,0,3630,1,50000
47626,17418,1.0,1,3630,1,50000
47744,17418,1.0,1,3630,1,50000
47750,17418,0.0,0,3630,1,50000
47914,17418,0.0,0,3630,1,50000
48854,17418,0.0,0,3630,1,50000
48863,17418,0.0,0,3630,1,50000
48885,17418,1.0,1,3630,1,50000
49103,17418,1.0,1,3630,1,50000
49227,17418,2.0,2,3630,1,50000
49335,17418,2.0,2,3630,1,50000
49347,17418,1.0,1,3630,1,50000
49443,17418,2.0,2,3630,1,50000
49540,17418,1.0,1,3630,1,50000
49542,17418,1.0,1,3630,1,50000
49551,17418,1.0,1,3630,1,50000
49632,17418,1.0,1,3630,1,50000
49731,17418,1.0,1,3630,1,50000
50008,17418,0.0,0,3630,1,50000
50317,17418,1.0,1,3630,1,50000
50341,17418,1.0,1,3630,1,50000
50358,17418,0.0,0,3630,1,50000
50419,17418,2.0,2,3630,1,50000
50499,17418,2.0,2,3630,1,50000
50571,17418,0.0,0,3630,1,50000
51041,17418,0.0,0,3630,1,50000
51054,17418,0.0,0,3630,1,50000
51085,17418,10.0,10,3630,1,50000
51322,17418,0.0,0,3630,1,50000
51391,17418,0.0,0,3630,1,50000
52085,17418,2.0,2,3630,1,50000
52574,17418,0.0,0,3630,1,50000
52626,17418,0.0,0,3630,1,50000
52817,17418,1.0,1,3630,1,50000
53084,17418,2.0,2,3630,1,50000
53255,17418,17.0,17,3630,1,50000
53381,17418,0.0,0,3630,1,50000
53518,17418,6.0,6,3630,1,50000
53699,17418,3.0,3,3630,1,50000
53765,17418,1.0,1,3630,1,50000
53768,17418,0.0,0,3630,1,50000
54406,17418,0.0,0,3630,1,50000
54591,17418,5.0,5,3630,1,50000
54738,17418,8.0,8,3630,1,50000
54779,17418,13.0,13,3630,1,50000
54847,17418,11.0,11,3630,1,50000
54854,17418,1.0,1,3630,1,50000
55081,17418,0.0,0,3630,1,50000
55557,17418,6.0,6,3630,1,50000
55593,17418,1.0,1,3630,1,50000
55632,17418,0.0,0,3630,1,50000
55755,17418,0.0,0,3630,1,50000
55785,17418,0.0,0,3630,1,50000
55915,17418,0.0,0,3630,1,50000
55971,17418,0.0,0,3630,1,50000
56000,17418,0.0,0,3630,1,50000
56063,17418,0.0,0,3630,1,50000
