geography,id,num_hh_control,adults_control,workers_control,children_control,whitenh_control,blacknh_control,asiannh_control,othernh_control,hispanic_control,hh_inc_1_control,hh_inc_2_control,hh_inc_3_control,hh_inc_4_control,hh_under_35_control,hh_35_64_control,hh_65_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_control,hh_size_5_control,hh_size_6_control,hh_size_7_control,bldg_type_1_control,bldg_type_2_control,bldg_type_3_control,bldg_type_4_control,bldg_type_5_control,bldg_type_6_control,bldg_type_7_control,bldg_type_8_control,bldg_type_9_control,bldg_type_10_control,num_hh_result,adults_result,workers_result,children_result,whitenh_result,blacknh_result,asiannh_result,othernh_result,hispanic_result,hh_inc_1_result,hh_inc_2_result,hh_inc_3_result,hh_inc_4_result,hh_under_35_result,hh_35_64_result,hh_65_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_result,hh_size_5_result,hh_size_6_result,hh_size_7_result,bldg_type_1_result,bldg_type_2_result,bldg_type_3_result,bldg_type_4_result,bldg_type_5_result,bldg_type_6_result,bldg_type_7_result,bldg_type_8_result,bldg_type_9_result,bldg_type_10_result,num_hh_diff,adults_diff,workers_diff,children_diff,whitenh_diff,blacknh_diff,asiannh_diff,othernh_diff,hispanic_diff,hh_inc_1_diff,hh_inc_2_diff,hh_inc_3_diff,hh_inc_4_diff,hh_under_35_diff,hh_35_64_diff,hh_65_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_diff,hh_size_5_diff,hh_size_6_diff,hh_size_7_diff,bldg_type_1_diff,bldg_type_2_diff,bldg_type_3_diff,bldg_type_4_diff,bldg_type_5_diff,bldg_type_6_diff,bldg_type_7_diff,bldg_type_8_diff,bldg_type_9_diff,bldg_type_10_diff
PUMA,3503,70172,140072,96527,37305,98637,13411,25424,8382,31523,13503,15724,14512,26433,19635,38929,11608,20970,21910,10571,9022,4114,2050,1535,55,13830,2727,9391,13915,12871,6314,6365,4704,0,70172,140051,96522,37307,98617,13417,25423,8379,31522,13503,15732,14512,26425,19635,38932,11605,20977,21912,10565,9022,4115,2051,1530,54,13822,2726,9394,13914,12876,6317,6366,4703,0,0,-21,-5,2,-20,6,-1,-3,-1,0,8,0,-8,0,3,-3,7,2,-6,0,1,1,-5,-1,-8,-1,3,-1,5,3,1,-1,0
PUMA,3504,52676,113544,74189,28471,60588,5857,18537,4573,52460,10887,12821,11127,17841,10767,30938,10971,13689,14968,9090,7842,4499,1608,980,59,17543,1511,8860,8567,7399,3357,3610,1752,18,52676,113529,74178,28460,60577,5852,18538,4559,52463,10885,12825,11123,17843,10768,30939,10969,13692,14968,9095,7836,4496,1612,977,55,17554,1511,8861,8563,7397,3357,3609,1754,15,0,-15,-11,-11,-11,-5,1,-14,3,-2,4,-4,2,1,1,-2,3,0,5,-6,-3,4,-3,-4,11,0,1,-4,-2,0,-1,2,-3
PUMA,3520,46890,104925,66433,23884,70701,3073,8257,2853,43925,9275,10423,11322,15870,7289,27863,11738,11962,12923,8531,7334,3058,1782,1300,111,25930,723,7327,5221,3832,1417,1514,807,8,46890,104933,66435,23890,70698,3076,8258,2856,43935,9272,10428,11326,15864,7294,27864,11732,11961,12921,8532,7336,3059,1781,1300,109,25932,722,7326,5223,3834,1417,1516,806,5,0,8,2,6,-3,3,1,3,10,-3,5,4,-6,5,1,-6,-1,-2,1,2,1,-1,0,-2,2,-1,-1,2,2,0,2,-1,-3
PUMA,3521,59563,135962,75958,39843,21613,71720,2262,2639,77571,22223,15573,10893,10874,10379,35263,13921,16014,13190,10550,8681,5159,2891,3078,116,21108,1309,15266,10301,5304,1963,1659,2485,52,59563,135962,75958,39846,21604,71756,2272,2638,77538,22223,15574,10889,10877,10381,35261,13921,16020,13190,10551,8679,5158,2889,3076,115,21117,1309,15267,10298,5304,1961,1659,2484,49,0,0,0,3,-9,36,10,-1,-33,0,1,-4,3,2,-2,0,6,0,1,-2,-1,-2,-2,-1,9,0,1,-3,0,-2,0,-1,-3
PUMA,3522,50323,106673,76568,23519,48260,4843,4914,3074,69101,10314,11551,10539,17919,17923,25527,6873,13493,16695,8385,5852,3096,1408,1394,86,9433,1273,11790,12916,7017,2751,2869,2140,48,50323,106681,76574,23529,48276,4838,4926,3077,69093,10315,11552,10538,17918,17922,25527,6874,13494,16691,8388,5850,3093,1410,1397,84,9436,1274,11791,12921,7014,2750,2868,2139,46,0,8,6,10,16,-5,12,3,-8,1,1,-1,-1,-1,0,1,1,-4,3,-2,-3,2,3,-2,3,1,1,5,-3,-1,-1,-1,-2
PUMA,3523,61728,136824,74493,47592,11953,73579,1289,2070,95525,27549,17831,9723,6625,13633,35466,12629,15948,13844,10400,9424,6291,2699,3122,127,10928,1270,20179,17927,5979,1521,1260,2505,32,61728,136834,74502,47582,11946,73562,1289,2062,95557,27548,17833,9727,6620,13627,35468,12633,15947,13852,10399,9428,6291,2693,3118,123,10918,1271,20197,17933,5974,1521,1260,2504,27,0,10,9,-10,-7,-17,0,-8,32,-1,2,4,-5,-6,2,4,-1,8,-1,4,0,-6,-4,-4,-10,1,18,6,-5,0,0,-1,-5
PUMA,3524,81296,148897,109878,24776,84018,24012,15473,4315,45855,16531,12598,15913,36254,35507,36806,8983,28892,30259,11697,6171,2469,1076,732,144,7103,4287,9335,20257,13270,2866,4602,19339,93,81296,148891,109871,24764,84010,23988,15454,4318,45885,16534,12604,15902,36256,35503,36812,8981,28893,30274,11694,6167,2465,1075,728,141,7100,4292,9333,20258,13268,2867,4601,19349,87,0,-6,-7,-12,-8,-24,-19,3,30,3,6,-11,2,-4,6,-2,1,15,-3,-4,-4,-1,-4,-3,-3,5,-2,1,-2,1,-1,10,-6
PUMA,3525,91428,136743,100032,11721,96566,16382,21548,4196,9772,14567,10600,17896,48365,39449,36910,15069,47083,35456,5858,2417,465,145,4,38,2294,2417,374,1190,1746,1390,6388,75579,12,91428,136751,100027,11714,96588,16376,21534,4190,9777,14565,10599,17902,48362,39444,36912,15072,47070,35466,5859,2422,468,143,0,35,2293,2418,374,1188,1744,1389,6391,75588,8,0,8,-5,-7,22,-6,-14,-6,5,-2,-1,6,-3,-5,2,3,-13,10,1,5,3,-2,-4,-3,-1,1,0,-2,-2,-1,3,9,-4
PUMA,3526,55179,127149,70588,35309,27371,15504,33351,1500,84732,19560,15694,10396,9529,11673,30609,12897,13629,12830,9934,8305,5912,2770,1799,88,15856,2220,16873,11409,3609,703,1023,3372,26,55179,127153,70570,35318,27402,15518,33337,1493,84721,19563,15691,10396,9529,11670,30608,12901,13628,12833,9936,8310,5908,2764,1800,85,15862,2218,16870,11418,3609,704,1021,3370,22,0,4,-18,9,31,14,-14,-7,-11,3,-3,0,0,-3,-1,4,-1,3,2,5,-4,-6,1,-3,6,-2,-3,9,0,1,-2,-2,-4
PUMA,3527,41787,105045,58493,33000,31506,6072,1207,763,98497,10062,11526,9728,10471,7537,24547,9703,9005,8142,6605,7056,5551,2935,2493,254,28114,1064,5410,3470,1728,798,445,504,0,41787,105071,58500,33012,31505,6077,1211,766,98524,10058,11528,9727,10474,7534,24547,9706,9007,8142,6598,7053,5553,2933,2501,254,28122,1063,5406,3470,1728,797,444,503,0,0,26,7,12,-1,5,4,3,27,-4,2,-1,3,-3,0,3,2,0,-7,-3,2,-2,8,0,8,-1,-4,0,0,-1,-1,-1,0
PUMA,3528,44978,89035,38345,27505,1912,83385,397,1403,29443,23555,12027,5994,3402,8847,23136,12995,15747,11217,6656,4808,2907,2074,1569,92,15908,757,11597,6893,4493,1303,1765,2126,44,44978,89024,38350,27500,1906,83378,401,1406,29433,23554,12029,5992,3403,8849,23136,12993,15748,11218,6655,4808,2908,2077,1564,92,15910,757,11597,6893,4493,1303,1765,2126,42,0,-11,5,-5,-6,-7,4,3,-10,-1,2,-2,1,2,0,-2,1,1,-1,0,1,3,-5,0,2,0,0,0,0,0,0,0,-2
PUMA,3529,83580,132824,70517,32153,18772,127869,7603,4924,5809,37050,19145,13346,14039,21739,42690,19151,41262,21694,9578,6397,2922,1142,585,54,7847,4456,4969,10578,16742,4700,8233,25968,33,83580,132826,70511,32146,18771,127872,7594,4932,5803,37051,19152,13341,14036,21731,42697,19152,41266,21696,9577,6396,2921,1144,580,50,7852,4456,4970,10580,16739,4703,8232,25970,28,0,2,-6,-7,-1,3,-9,8,-6,1,7,-5,-3,-8,7,1,4,2,-1,-1,-1,2,-5,-4,5,0,1,2,-3,3,-1,2,-5
PUMA,3530,50106,110630,60281,29378,30091,77216,889,2911,28901,11952,11276,11783,15095,4846,30884,14376,13508,12765,8618,7113,4509,2141,1452,106,39468,1144,2066,2105,2267,1036,1038,876,0,50106,110632,60279,29369,30096,77225,888,2916,28876,11951,11277,11781,15097,4846,30883,14377,13514,12770,8619,7111,4502,2136,1454,105,39472,1145,2064,2104,2267,1036,1036,877,0,0,2,-2,-9,5,9,-1,5,-25,-1,1,-2,2,0,-1,1,6,5,1,-2,-7,-5,2,-1,4,1,-2,-1,0,0,-2,1,0
PUMA,3531,49759,93999,44270,22066,1556,110879,443,1555,1632,20927,12625,9508,6699,6006,27155,16598,19073,13382,7497,5190,2331,1376,910,69,24632,2480,5471,5949,6160,1958,1076,1964,0,49759,93992,44276,22055,1558,110857,442,1564,1626,20922,12629,9510,6698,6007,27155,16597,19073,13383,7497,5190,2332,1374,910,66,24641,2481,5469,5947,6158,1959,1075,1963,0,0,-7,6,-11,2,-22,-1,9,-6,-5,4,2,-1,1,0,-1,0,1,0,0,1,-2,0,-3,9,1,-2,-2,-2,1,-1,-1,0
