REGION,PUMA,TAZ,MAZ
1,3502,88,128
1,3502,89,129
1,3530,630,130
1,3411,1486,131
1,3411,632,132
1,3411,632,133
1,3411,632,134
1,3411,632,135
1,3530,631,136
1,3530,631,137
1,3530,631,138
1,3530,631,139
1,3530,633,140
1,3530,633,141
1,3530,634,142
1,3530,634,143
1,3411,635,144
1,3411,635,145
1,3411,635,146
1,3532,650,147
1,3532,650,148
1,3532,650,149
1,3532,650,150
1,3532,647,151
1,3531,649,152
1,3531,646,153
1,3531,648,154
1,3531,645,155
1,3531,645,156
1,3531,645,157
1,3531,645,158
1,3531,643,159
1,3531,642,160
1,3531,641,161
1,3530,644,162
1,3530,640,163
1,3530,640,164
1,3530,640,165
1,3530,640,166
1,3531,636,167
1,3530,639,168
1,3530,638,169
1,3530,637,170
1,3530,651,171
1,3530,651,172
1,3530,651,173
1,3530,651,174
1,3530,652,175
1,3530,652,176
1,3530,652,177
1,3530,652,178
1,3530,653,179
1,3530,653,180
1,3530,653,181
1,3530,653,182
1,3531,657,183
1,3531,656,184
1,3531,654,185
1,3531,655,186
1,3532,660,187
1,3532,661,188
1,3532,659,189
1,3532,658,190
1,3532,662,191
1,3532,666,192
1,3532,663,193
1,3532,664,194
1,3532,665,195
1,3532,664,196
1,3532,664,197
1,3532,679,198
1,3532,664,199
1,3532,664,200
1,3532,678,201
1,3532,678,202
1,3532,677,203
1,3532,678,204
1,3532,678,205
1,3531,675,206
1,3531,673,207
1,3532,676,208
1,3531,674,209
1,3531,672,210
1,3531,672,211
1,3531,672,212
1,3531,672,213
1,3530,671,214
1,3530,671,215
1,3530,671,216
1,3530,671,217
1,3530,667,218
1,3530,669,219
1,3530,668,220
1,3530,670,221
1,3530,680,222
1,3530,680,223
1,3530,680,224
1,3530,680,225
1,3530,681,226
1,3530,681,227
1,3530,681,228
1,3530,681,229
1,3532,682,230
1,3532,682,231
1,3532,682,232
1,3532,682,233
1,3532,683,234
1,3532,683,235
1,3532,684,236
1,3532,683,237
1,3532,683,238
1,3532,677,239
1,3532,677,240
1,3532,678,241
1,3532,677,242
1,3532,677,243
1,3532,685,244
1,3532,685,245
1,3532,685,246
1,3532,685,247
1,3532,690,248
1,3532,690,249
1,3532,690,250
1,3532,690,251
1,3532,677,252
1,3532,677,253
1,3532,677,254
1,3532,677,255
1,3532,684,256
1,3532,683,257
1,3532,684,258
1,3532,684,259
1,3532,684,260
1,3532,688,261
1,3532,688,262
1,3411,1549,263
1,3532,688,264
1,3532,688,265
1,3532,687,266
1,3532,686,267
1,3532,689,268
1,3532,688,269
1,3532,693,270
1,3532,694,271
1,3532,692,272
1,3532,691,273
1,3532,695,274
1,3532,695,275
1,3532,695,276
1,3532,695,277
1,3532,696,278
1,3532,696,279
1,3532,696,280
1,3532,696,281
1,3532,702,282
1,3532,702,283
1,3532,701,284
1,3532,702,285
1,3532,702,286
1,3532,697,287
1,3532,699,288
1,3532,700,289
1,3532,698,290
1,3532,698,291
1,3532,700,292
1,3532,700,293
1,3532,698,294
1,3532,700,295
